Song_Name,Song_ID,Duration_ms,Artist_name,Album_name,Album_date,played_at,Explicit
Aceite Fesco - En Vivo,3ujH4Xfq9Si3g2NJSaFiEr,230120,Ebenezer San Francisco,Renacer (En Vivo),2019-09-27,2026-05-13T16:06:05.004Z,False
Vive Para Siempre,5yPAkiFa6NTqAlPcsdGjgF,281331,Will Fabre,Tu Reinas,2014-07-04,2026-05-13T03:43:23.650Z,False
Canticos de Liberación,0isBDaAsnTDqweP4w7o5gA,337964,Will Fabre,Tu Reinas,2014-07-04,2026-05-13T03:38:53.954Z,False
Ven Amado,79OY4m6F3MdHqXUwXPGWDS,251522,Genesis Campos,Ven Amado,2023-10-27,2026-05-13T03:33:01.518Z,False
Dulce Carro de fuego,7poCv6DgtBGsw0SEi8nL32,175119,Mi copa está rebosando,Gospel para volar 2,2025-11-11,2026-05-13T03:20:23.810Z,False
Y además,1iH5U5NudUTtwvj4SE2dFj,239853,Rescate,Indudablemente,2014-08-15,2026-05-13T03:17:23.919Z,False
¡HOSANNA! Ahí viene Yeshua,4QLuUSo8yHhj8k8tgvg2qq,792000,Will Fabre,¡HOSANNA! Ahí viene Yeshua,2025-09-26,2026-05-13T01:42:53.173Z,False
¡HOSANNA! Ahí viene Yeshua,4QLuUSo8yHhj8k8tgvg2qq,792000,Will Fabre,¡HOSANNA! Ahí viene Yeshua,2025-09-26,2026-05-09T16:12:13.532Z,False
Mesias - Live,2f76xe9iPZbab7nMXaUaNR,743333,Averly Morillo,Mesias (Live),2024-02-10,2026-05-09T02:24:37.247Z,False
King Of Glory - Live,1aaU30d8KvsvTEaCwq4ujl,316186,Jesus Culture,Your Love Never Fails (Live),2008-01-01,2026-05-09T02:09:12.200Z,False
